Timestamp | Frame | ClassID | ClassName | Confidence | BBox Coordinates (xmin,ymin,xmax,ymax)
0:00:15    | 959    | 2        | car        | 0.8836 | [920.0,390.8,1548.5,972.5]
0:00:15    | 959    | 2        | car        | 0.8376 | [1.5,492.4,636.8,964.4]
0:00:16    | 960    | 2        | car        | 0.8862 | [908.8,392.6,1550.4,980.1]
0:00:16    | 960    | 2        | car        | 0.8317 | [0.9,495.6,639.6,963.1]
0:00:16    | 961    | 2        | car        | 0.8890 | [905.6,396.0,1550.0,987.1]
0:00:16    | 961    | 2        | car        | 0.8224 | [0.0,495.0,642.0,966.8]
0:00:16    | 962    | 2        | car        | 0.8775 | [901.0,393.5,1551.0,997.4]
0:00:16    | 962    | 2        | car        | 0.8322 | [0.0,498.4,640.9,965.9]
0:00:16    | 963    | 2        | car        | 0.8713 | [894.8,394.4,1554.2,1007.5]
0:00:16    | 963    | 2        | car        | 0.8237 | [0.2,496.1,642.4,964.6]
0:00:16    | 964    | 2        | car        | 0.8915 | [888.3,393.8,1553.9,1011.4]
0:00:16    | 964    | 2        | car        | 0.8223 | [0.0,497.2,642.8,965.0]
0:00:16    | 965    | 2        | car        | 0.8778 | [889.0,397.7,1553.2,1020.0]
0:00:16    | 965    | 2        | car        | 0.8274 | [0.0,496.4,643.5,966.5]
0:00:16    | 966    | 2        | car        | 0.8855 | [885.0,399.7,1552.8,1028.3]
0:00:16    | 966    | 2        | car        | 0.8095 | [0.0,495.0,645.5,966.5]
0:00:16    | 967    | 2        | car        | 0.8835 | [876.5,397.9,1553.8,1034.5]
0:00:16    | 967    | 2        | car        | 0.8274 | [0.2,495.1,641.5,964.8]
0:00:16    | 968    | 2        | car        | 0.9023 | [874.9,398.2,1555.7,1042.0]
0:00:16    | 968    | 2        | car        | 0.8283 | [0.2,495.9,639.2,964.4]
0:00:16    | 969    | 2        | car        | 0.8736 | [866.4,402.3,1558.7,1044.6]
0:00:16    | 969    | 2        | car        | 0.8175 | [0.0,496.7,642.5,965.3]
0:00:16    | 970    | 2        | car        | 0.8638 | [858.1,402.1,1552.5,1051.6]
0:00:16    | 970    | 2        | car        | 0.8286 | [0.5,500.5,638.5,966.2]
0:00:16    | 971    | 2        | car        | 0.8765 | [849.9,403.7,1552.5,1061.4]
0:00:16    | 971    | 2        | car        | 0.8299 | [0.8,500.5,638.2,968.2]
0:00:16    | 972    | 2        | car        | 0.8772 | [843.8,405.1,1553.4,1064.6]
0:00:16    | 972    | 2        | car        | 0.8358 | [0.7,501.2,636.3,966.4]
0:00:16    | 973    | 2        | car        | 0.8608 | [835.1,403.8,1547.5,1072.8]
0:00:16    | 973    | 2        | car        | 0.8473 | [0.9,502.8,636.3,967.6]
0:00:16    | 974    | 2        | car        | 0.8823 | [830.6,404.9,1546.9,1082.8]
0:00:16    | 974    | 2        | car        | 0.8543 | [1.2,502.9,635.8,967.7]
0:00:16    | 975    | 2        | car        | 0.8883 | [821.9,408.7,1548.4,1088.1]
0:00:16    | 975    | 2        | car        | 0.8524 | [1.2,502.4,635.8,968.1]
0:00:16    | 976    | 2        | car        | 0.8845 | [817.2,410.5,1554.1,1090.6]
0:00:16    | 976    | 2        | car        | 0.8286 | [0.5,500.1,636.3,966.9]
0:00:16    | 977    | 2        | car        | 0.8863 | [813.5,413.2,1555.0,1097.6]
0:00:16    | 977    | 2        | car        | 0.8385 | [0.8,499.1,636.2,967.5]
0:00:16    | 978    | 2        | car        | 0.8928 | [806.2,418.1,1554.3,1104.2]
0:00:16    | 978    | 2        | car        | 0.8473 | [0.8,497.4,632.9,969.6]
0:00:16    | 979    | 2        | car        | 0.8871 | [804.1,424.2,1555.3,1111.8]
0:00:16    | 979    | 2        | car        | 0.8561 | [1.0,496.5,633.9,969.6]
0:00:16    | 980    | 2        | car        | 0.8882 | [796.5,420.5,1559.8,1122.3]
0:00:16    | 980    | 2        | car        | 0.8596 | [1.7,497.6,632.5,970.3]
0:00:16    | 981    | 2        | car        | 0.8892 | [793.9,419.7,1561.7,1128.7]
0:00:16    | 981    | 2        | car        | 0.8362 | [1.9,498.9,631.5,971.6]
0:00:16    | 982    | 2        | car        | 0.8498 | [1.5,496.0,629.8,969.3]
0:00:16    | 982    | 2        | car        | 0.8474 | [784.2,425.5,1567.0,1138.3]
0:00:16    | 983    | 2        | car        | 0.8598 | [781.6,424.3,1572.5,1138.5]
0:00:16    | 983    | 2        | car        | 0.8467 | [1.6,494.8,630.6,972.3]
0:00:16    | 984    | 2        | car        | 0.8724 | [773.6,423.2,1579.3,1152.4]
0:00:16    | 984    | 2        | car        | 0.8332 | [2.6,494.9,631.2,974.2]
0:00:16    | 985    | 2        | car        | 0.8905 | [766.8,426.4,1576.7,1161.3]
0:00:16    | 985    | 2        | car        | 0.8273 | [2.6,496.5,630.0,976.7]
0:00:16    | 986    | 2        | car        | 0.8605 | [759.5,420.0,1583.9,1170.5]
0:00:16    | 986    | 2        | car        | 0.8077 | [2.5,499.8,630.8,972.1]
0:00:16    | 987    | 2        | car        | 0.8801 | [753.8,425.5,1581.6,1177.5]
0:00:16    | 987    | 2        | car        | 0.7710 | [3.6,498.6,635.6,974.5]
0:00:16    | 988    | 2        | car        | 0.8654 | [745.6,424.3,1583.9,1182.5]
0:00:16    | 988    | 2        | car        | 0.7670 | [3.3,494.9,635.3,974.3]
0:00:16    | 989    | 2        | car        | 0.8806 | [739.2,424.2,1585.7,1186.1]
0:00:16    | 989    | 2        | car        | 0.7657 | [4.3,498.8,644.0,976.4]
0:00:16    | 990    | 2        | car        | 0.8333 | [735.9,421.6,1595.8,1194.5]
0:00:16    | 990    | 2        | car        | 0.7434 | [3.6,499.0,641.6,973.6]
0:00:16    | 991    | 2        | car        | 0.8549 | [727.4,423.8,1588.9,1198.5]
0:00:16    | 991    | 2        | car        | 0.6760 | [3.7,503.3,639.1,978.2]
0:00:16    | 992    | 2        | car        | 0.8535 | [723.4,426.8,1594.3,1205.7]
0:00:16    | 992    | 2        | car        | 0.7076 | [3.1,502.8,625.7,979.8]
0:00:16    | 993    | 2        | car        | 0.8209 | [720.2,429.3,1596.9,1211.5]
0:00:16    | 993    | 2        | car        | 0.7101 | [3.0,505.3,624.8,982.8]
0:00:16    | 994    | 2        | car        | 0.8470 | [712.7,429.7,1594.4,1213.3]
0:00:16    | 994    | 2        | car        | 0.5863 | [5.1,503.4,624.7,984.3]
0:00:16    | 995    | 2        | car        | 0.8226 | [708.8,428.3,1599.0,1218.1]
0:00:16    | 995    | 2        | car        | 0.5552 | [5.2,505.3,623.7,993.5]
0:00:16    | 996    | 2        | car        | 0.7811 | [700.7,431.3,1601.2,1223.5]
0:00:16    | 996    | 2        | car        | 0.5285 | [4.5,502.3,635.7,996.6]
0:00:16    | 997    | 2        | car        | 0.7855 | [703.7,432.2,1599.3,1227.8]
0:00:16    | 997    | 2        | car        | 0.5045 | [4.7,506.3,633.8,1000.6]
0:00:16    | 998    | 2        | car        | 0.8316 | [698.6,430.4,1608.8,1233.5]
0:00:16    | 998    | 2        | car        | 0.6011 | [4.6,506.7,623.0,1006.4]
0:00:16    | 999    | 2        | car        | 0.8131 | [695.9,432.6,1606.8,1236.4]
0:00:16    | 999    | 2        | car        | 0.4522 | [2.7,508.0,608.8,1010.8]
0:00:16    | 999    | 7        | truck      | 0.4041 | [4.9,507.8,675.5,1017.4]
0:00:16    | 1000   | 2        | car        | 0.8480 | [689.1,435.2,1607.3,1238.4]
0:00:16    | 1000   | 2        | car        | 0.4908 | [3.1,508.7,598.6,1011.0]
0:00:16    | 1001   | 2        | car        | 0.8692 | [687.8,436.4,1598.8,1244.3]
0:00:16    | 1001   | 2        | car        | 0.6671 | [2.9,513.0,606.5,1016.0]
0:00:16    | 1002   | 2        | car        | 0.8528 | [684.6,435.2,1603.1,1251.2]
0:00:16    | 1002   | 2        | car        | 0.5888 | [2.6,509.8,598.9,1021.8]
0:00:16    | 1003   | 2        | car        | 0.8455 | [678.6,432.6,1606.3,1253.5]
0:00:16    | 1003   | 2        | car        | 0.5865 | [0.0,511.3,586.0,1027.0]
0:00:16    | 1004   | 2        | car        | 0.8292 | [675.2,432.7,1605.7,1259.8]
0:00:16    | 1004   | 2        | car        | 0.6405 | [0.0,516.8,550.6,1026.8]
0:00:16    | 1005   | 2        | car        | 0.8182 | [675.8,431.6,1604.7,1255.0]
0:00:16    | 1005   | 2        | car        | 0.5414 | [0.0,517.9,529.9,1032.6]
0:00:16    | 1006   | 2        | car        | 0.8528 | [671.7,431.4,1604.2,1257.3]
0:00:16    | 1006   | 2        | car        | 0.5413 | [0.0,522.7,480.2,1035.6]
0:00:16    | 1007   | 2        | car        | 0.8537 | [670.4,431.2,1605.5,1258.8]
0:00:16    | 1007   | 2        | car        | 0.6949 | [0.0,524.2,460.6,1039.7]
0:00:16    | 1007   | 2        | car        | 0.4039 | [1268.6,281.1,1393.8,372.1]
0:00:16    | 1008   | 2        | car        | 0.8551 | [671.4,428.9,1605.2,1261.2]
0:00:16    | 1008   | 2        | car        | 0.7273 | [0.5,523.6,462.1,1053.6]
0:00:16    | 1009   | 2        | car        | 0.8413 | [670.1,428.7,1606.0,1258.2]
0:00:16    | 1009   | 2        | car        | 0.6194 | [1.6,524.0,460.9,1058.1]
0:00:16    | 1010   | 2        | car        | 0.8386 | [670.3,428.0,1605.2,1259.7]
0:00:16    | 1011   | 2        | car        | 0.8523 | [671.1,426.7,1604.3,1261.2]
0:00:16    | 1011   | 2        | car        | 0.5029 | [2.2,524.8,461.2,1081.0]
0:00:16    | 1012   | 2        | car        | 0.8577 | [671.7,426.9,1605.6,1258.3]
0:00:16    | 1012   | 2        | car        | 0.6098 | [1.2,532.4,461.2,1095.7]
0:00:16    | 1013   | 2        | car        | 0.8548 | [665.9,427.0,1603.6,1262.2]
